"Year.x","Year.y","Year.x.x","Year.y.y","Year.x.x.x","Year.y.y.y","Year.x.x.x.x","Year.y.y.y.y","Year.x.x.x.x.x","Year.y.y.y.y.y","State","Year","Kilograms of Co2 per MWh"
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2022",377
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Florida","2023",361
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2013",470
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2014",497
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2015",460
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2016",451
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2017",430
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2018",424
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2019",397
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2020",332
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2021",351
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2022",346
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Georgia","2023",333
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2013",529
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2014",547
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2015",504
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2016",500
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2017",392
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2018",407
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2019",333
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2020",284
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2021",315
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2022",303
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Maryland","2023",254
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2013",452
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2014",457
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2015",419
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2016",401
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2017",379
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2018",370
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2019",361
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2020",309
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2021",317
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2022",307
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2023",291
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2013",302
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2014",341
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2015",309
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2016",289
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2017",272
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2018",291
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2019",251
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2020",234
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2021",256
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2022",252
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Carolina","2023",254
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2013",451
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2014",437
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2015",413
2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Virginia","2016",395
